Name	Link	Family	Max Thickness (%)	x-Locationof Max Thickness (%)	Camber (%)	Data Sources	Cl max	Cl/Cd max	Cd @ Cl=0.1	Cd @ Cl=0.4	Cd @ Cl=0.6
FX 79-W-151 A	FX 79-W-151 A	Wortmann	15.2	33.8	3.8	JF XF	1.45	160	0.005	0.005	0.005
FX 80-080	FX 80-080	Wortmann	8.1	41.7	2.2	JF XF	1.09	177	0.005	0.003	0.074
FX 83-W-108	FX 83-W-108	Wortmann	10.9	30.1	4.2	JF XF	1.61	158	0.006	0.005	0.005
FX 83-W-160	FX 83-W-160	Wortmann	16.1	35.8	3.9	JF XF	1.88	158	0.007	0.006	0.006
FX 83-W-227	FX 83-W-227	Wortmann	22.6	33.8	3.4	JF XF	2.14	132	0.005	0.007	0.007
FX 84-W-097	FX 84-W-097	Wortmann	9.7	31.9	2.8	JF XF	1.23	126	0.006	0.005	0.005
FX 84-W-127	FX 84-W-127	Wortmann	12.8	33.8	3.7	JF XF	1.53	159	0.006	0.006	0.006
FX 84-W-140	FX 84-W-140	Wortmann	14.1	35.8	4.2	JF XF	1.67	162	0.006	0.006	0.005
FX 84-W-150	FX 84-W-150	Wortmann	15	35.8	4.2	JF XF	1.74	177	0.006	0.006	0.006
FX 84-W-175	FX 84-W-175	Wortmann	17.6	35.8	4.4	JF XF	1.93	147	0.006	0.006	0.006
FX 84-W-218	FX 84-W-218	Wortmann	22	33.8	3.2	JF XF	2.17	120	0.006	0.007	0.007
FX L V-152	FX L V-152	Wortmann	15.3	35.7	0	JF XF	1.18	91	0.006	0.008	0.008
FX LIII-142 K 25	FX LIII-142 K 25	Wortmann	14.2	31.9	0	JF XF	1.15	103	0.005	0.007	0.008
FX M2	FX M2	Wortmann	8.4	19.9	4.8	JF XF	2.46	358	0.032	0.004	0.005
FX S 02-196	FX S 02-196	Wortmann	19.6	35.8	3.7	JF XF	1.89	96	0.031	0.01	0.009
FX S 02/1-158	FX S 02/1-158	Wortmann	15.8	31.9	3.5	JF XF	1.45	133	0.007	0.007	0.006
FX S 03-182	FX S 03-182	Wortmann	18.2	41.7	2.9	JF XF	1.52	232	0.007	0.004	0.005
GA 30-010	GA 30-010	Riblett 30-series	10	30.1	0	JF XF	1.07	101	0.005	0.006	0.007
GA 30-011	GA 30-011	Riblett 30-series	11	30.1	0	JF XF	1.15	103	0.005	0.006	0.007
GA 30-012	GA 30-012	Riblett 30-series	12	30.1	0	JF XF	1.21	104	0.006	0.006	0.007
GA 30-013	GA 30-013	Riblett 30-series	13	30.1	0	JF XF	1.28	110	0.006	0.006	0.007
GA 30-014	GA 30-014	Riblett 30-series	14	30.1	0	JF XF	1.35	111	0.006	0.007	0.007
GA 30-015	GA 30-015	Riblett 30-series	15	30.1	0	JF XF	1.43	112	0.006	0.007	0.007
GA 30-016	GA 30-016	Riblett 30-series	16	30.1	0	JF XF	1.5	108	0.007	0.007	0.007
GA 30-017	GA 30-017	Riblett 30-series	17	30.1	0	JF XF	1.58	112	0.007	0.007	0.008
GA 30-018	GA 30-018	Riblett 30-series	18	30.1	0	JF XF	1.66	108	0.007	0.007	0.008
GA 30-019	GA 30-019	Riblett 30-series	19	30.1	0	JF XF	1.73	114	0.007	0.007	0.007
GA 30-020	GA 30-020	Riblett 30-series	20	30.1	0	JF XF	1.79	115	0.007	0.007	0.008
GA 30-210	GA 30-210	Riblett 30-series	10	30.1	1.8	JF XF	1.35	119	0.005	0.006	0.006
GA 30-211	GA 30-211	Riblett 30-series	11	30.1	1.8	JF XF	1.43	124	0.006	0.006	0.006
GA 30-212	GA 30-212	Riblett 30-series	12	30.1	1.8	JF XF	1.49	124	0.006	0.006	0.007
GA 30-213	GA 30-213	Riblett 30-series	13	30.1	1.8	JF XF	1.55	126	0.006	0.006	0.007
GA 30-214	GA 30-214	Riblett 30-series	14	30.1	1.8	JF XF	1.62	123	0.006	0.006	0.007
GA 30-215	GA 30-215	Riblett 30-series	15	30.1	1.8	JF XF	1.7	126	0.006	0.006	0.007
GA 30-216	GA 30-216	Riblett 30-series	16	30.1	1.8	JF XF	1.77	123	0.006	0.006	0.007
GA 30-217	GA 30-217	Riblett 30-series	17	30.1	1.8	JF XF	1.85	123	0.006	0.007	0.007
GA 30-218	GA 30-218	Riblett 30-series	18	30.1	1.8	JF XF	1.92	117	0.007	0.007	0.007
GA 30-219	GA 30-219	Riblett 30-series	19	30.1	1.8	JF XF	2	122	0.007	0.007	0.008
GA 30-220	GA 30-220	Riblett 30-series	20	30.1	1.8	JF XF	2.07	123	0.007	0.007	0.008
GA 30-310	GA 30-310	Riblett 30-series	10	30.1	2.5	JF XF	1.41	126	0.005	0.006	0.006
GA 30-311	GA 30-311	Riblett 30-series	11	30.1	2.5	JF XF	1.5	131	0.005	0.006	0.006
GA 30-312	GA 30-312	Riblett 30-series	12	30.1	2.5	JF XF	1.55	129	0.006	0.006	0.006
GA 30-313	GA 30-313	Riblett 30-series	13	30.1	2.5	JF XF	1.62	129	0.006	0.006	0.006
GA 30-314	GA 30-314	Riblett 30-series	14	30.1	2.5	JF XF	1.69	124	0.006	0.006	0.007
GA 30-315	GA 30-315	Riblett 30-series	15	30.1	2.5	JF XF	1.76	123	0.006	0.006	0.007
GA 30-316	GA 30-316	Riblett 30-series	16	30.1	2.5	JF XF	1.84	125	0.006	0.007	0.007
GA 30-317	GA 30-317	Riblett 30-series	17	30.1	2.5	JF XF	1.92	122	0.006	0.007	0.007
GA 30-318	GA 30-318	Riblett 30-series	18	30.1	2.5	JF XF	2	121	0.007	0.007	0.007
GA 30-319	GA 30-319	Riblett 30-series	19	30.1	2.5	JF XF	2.07	120	0.007	0.007	0.007
GA 30-320	GA 30-320	Riblett 30-series	20	30.1	2.5	JF XF	2.14	126	0.007	0.007	0.008
GA 30-410	GA 30-410	Riblett 30-series	10	30.1	3.3	JF XF	1.48	135	0.006	0.006	0.006
GA 30-411	GA 30-411	Riblett 30-series	11	30.1	3.3	JF XF	1.58	136	0.006	0.005	0.006
GA 30-412	GA 30-412	Riblett 30-series	12	30.1	3.3	JF XF	1.62	135	0.006	0.006	0.006
GA 30-413	GA 30-413	Riblett 30-series	13	30.1	3.3	JF XF	1.7	135	0.006	0.006	0.007
GA 30-413.5	GA 30-413.5	Riblett 30-series	13.5	30.1	3.3	JF XF	1.74	134	0.006	0.006	0.007
GA 30-414	GA 30-414	Riblett 30-series	14	30.1	3.3	JF XF	1.77	136	0.006	0.006	0.006
GA 30-415	GA 30-415	Riblett 30-series	15	30.1	3.3	JF XF	1.85	135	0.006	0.006	0.007
GA 30-416	GA 30-416	Riblett 30-series	16	30.1	3.3	JF XF	1.92	135	0.006	0.006	0.007
GA 30-417	GA 30-417	Riblett 30-series	17	30.1	3.3	JF XF	2	134	0.007	0.006	0.007
GA 30-418	GA 30-418	Riblett 30-series	18	30.1	3.3	JF XF	2.07	136	0.007	0.007	0.007
GA 30-419	GA 30-419	Riblett 30-series	19	30.1	3.3	JF XF	2.15	132	0.007	0.007	0.008
GA 30-420	GA 30-420	Riblett 30-series	20	30.1	3.3	JF XF	2.22	135	0.007	0.007	0.007
GA 30-610	GA 30-610	Riblett 30-series	10	30.1	4.5	JF XF	1.6	158	0.006	0.005	0.006
GA 30-611	GA 30-611	Riblett 30-series	11	30.1	4.5	JF XF	1.69	157	0.006	0.005	0.006
GA 30-612	GA 30-612	Riblett 30-series	12	30.1	4.5	JF XF	1.75	154	0.006	0.006	0.006
GA 30-613	GA 30-613	Riblett 30-series	13	30.1	4.5	JF XF	1.83	150	0.006	0.006	0.006
GA 30-614	GA 30-614	Riblett 30-series	14	30.1	4.5	JF XF	1.91	147	0.006	0.006	0.006
GA 30-615	GA 30-615	Riblett 30-series	15	30.1	4.5	JF XF	1.99	140	0.006	0.006	0.007
GA 30-616	GA 30-616	Riblett 30-series	14	30.1	4.5	JF XF	2.07	144	0.006	0.006	0.006
GA 30-617	GA 30-617	Riblett 30-series	16	30.1	4.5	JF XF	2.14	143	0.007	0.007	0.007
GA 30-618	GA 30-618	Riblett 30-series	18	30.1	4.5	JF XF	2.21	136	0.007	0.007	0.007
GA 30-619	GA 30-619	Riblett 30-series	17	30.1	4.5	JF XF	2.29	136	0.007	0.007	0.007
GA 30-620	GA 30-620	Riblett 30-series	19	30.1	4.5	JF XF	2.36	141	0.007	0.007	0.007
GA 30A010	GA 30A010	Riblett 30-series	10	30.1	0	JF XF	1.08	84	0.008	0.008	0.009
GA 30A011	GA 30A011	Riblett 30-series	11	30.1	0	JF XF	1.16	86	0.008	0.008	0.009
GA 30A012	GA 30A012	Riblett 30-series	12	30.1	0	JF XF	1.23	86	0.009	0.009	0.01
GA 30A013	GA 30A013	Riblett 30-series	13	30.1	0	JF XF	1.31	85	0.009	0.009	0.01
GA 30A014	GA 30A014	Riblett 30-series	14	30.1	0	JF XF	1.36	85	0.009	0.01	0.01
GA 30A015	GA 30A015	Riblett 30-series	15	30.1	0	JF XF	1.43	86	0.01	0.01	0.011
GA 30A016	GA 30A016	Riblett 30-series	16	30.1	0	JF XF	1.51	86	0.01	0.01	0.011
GA 30A017	GA 30A017	Riblett 30-series	17	30.1	0	JF XF	1.58	86	0.01	0.011	0.011
GA 30A018	GA 30A018	Riblett 30-series	18	30.1	0	JF XF	1.65	82	0.011	0.011	0.012
GA 30A019	GA 30A019	Riblett 30-series	19	30.1	0	JF XF	1.73	85	0.011	0.011	0.012
GA 30A020	GA 30A020	Riblett 30-series	20	30.1	0	JF XF	1.8	85	0.011	0.011	0.012
GA 30A210	GA 30A210	Riblett 30-series	10	30.1	1.8	JF XF	1.35	99	0.008	0.008	0.009
GA 30A211	GA 30A211	Riblett 30-series	10	30.1	1.8	JF XF	1.43	100	0.008	0.008	0.009
GA 30A212	GA 30A212	Riblett 30-series	12	30.1	1.8	JF XF	1.51	100	0.008	0.008	0.009
GA 30A213	GA 30A213	Riblett 30-series	11	30.1	1.8	JF XF	1.56	96	0.009	0.009	0.01
GA 30A214	GA 30A214	Riblett 30-series	13	30.1	1.8	JF XF	1.63	99	0.009	0.009	0.01
GA 30A215	GA 30A215	Riblett 30-series	15	30.1	1.8	JF XF	1.7	97	0.009	0.01	0.01
GA 30A216	GA 30A216	Riblett 30-series	16	30.1	1.8	JF XF	1.78	97	0.01	0.01	0.011
GA 30A217	GA 30A217	Riblett 30-series	16	30.1	1.8	JF XF	1.85	95	0.01	0.01	0.011
GA 30A218	GA 30A218	Riblett 30-series	18	30.1	1.8	JF XF	1.92	95	0.011	0.011	0.011
GA 30A219	GA 30A219	Riblett 30-series	19	30.1	1.8	JF XF	2	94	0.011	0.011	0.012
GA 30A220	GA 30A220	Riblett 30-series	19	30.1	1.8	JF XF	2.07	91	0.011	0.012	0.012
GA 30A310	GA 30A310	Riblett 30-series	20	30.1	1.8	JF XF	1.41	104	0.007	0.008	0.008
GA 30A311	GA 30A311	Riblett 30-series	11	30.1	2.5	JF XF	1.5	104	0.008	0.008	0.009
GA 30A312	GA 30A312	Riblett 30-series	12	30.1	2.5	JF XF	1.56	103	0.008	0.009	0.009
GA 30A313	GA 30A313	Riblett 30-series	11	30.1	2.5	JF XF	1.63	102	0.009	0.009	0.009
GA 30A314	GA 30A314	Riblett 30-series	13	30.1	2.5	JF XF	1.7	102	0.009	0.009	0.01
GA 30A315	GA 30A315	Riblett 30-series	15	30.1	2.5	JF XF	1.77	99	0.009	0.01	0.01
GA 30A316	GA 30A316	Riblett 30-series	14	30.1	2.5	JF XF	1.84	99	0.01	0.01	0.01
GA 30A317	GA 30A317	Riblett 30-series	16	30.1	2.5	JF XF	1.92	98	0.01	0.011	0.011
GA 30A318	GA 30A318	Riblett 30-series	18	30.1	2.5	JF XF	2	97	0.01	0.011	0.011
GA 30A319	GA 30A319	Riblett 30-series	19	30.1	2.5	JF XF	2.07	96	0.011	0.011	0.011
GA 30A320	GA 30A320	Riblett 30-series	19	30.1	2.5	JF XF	2.15	94	0.011	0.011	0.012
GA 30A410	GA 30A410	Riblett 30-series	20	30.1	2.5	JF XF	1.48	107	0.008	0.008	0.008
GA 30A411	GA 30A411	Riblett 30-series	10	30.1	3.3	JF XF	1.58	106	0.008	0.008	0.008
GA 30A412	GA 30A412	Riblett 30-series	12	30.1	3.3	JF XF	1.64	105	0.009	0.008	0.009
GA 30A413	GA 30A413	Riblett 30-series	11	30.1	3.3	JF XF	1.71	102	0.009	0.009	0.009
GA 30A414	GA 30A414	Riblett 30-series	13	30.1	3.3	JF XF	1.78	103	0.009	0.009	0.01
GA 30A415	GA 30A415	Riblett 30-series	15	30.1	3.3	JF XF	1.85	103	0.009	0.009	0.01
GA 30A416	GA 30A416	Riblett 30-series	14	30.1	3.3	JF XF	1.93	99	0.01	0.01	0.01
GA 30A417	GA 30A417	Riblett 30-series	16	30.1	3.3	JF XF	2	100	0.01	0.01	0.011
GA 30A418	GA 30A418	Riblett 30-series	18	30.1	3.3	JF XF	2.08	98	0.011	0.011	0.011
GA 30A419	GA 30A419	Riblett 30-series	17	30.1	3.3	JF XF	2.15	98	0.011	0.011	0.012
GA 30A420	GA 30A420	Riblett 30-series	19	30.1	3.3	JF XF	2.22	97	0.011	0.011	0.012
GA 30A610	GA 30A610	Riblett 30-series	20	30.1	3.3	JF XF	1.6	119	0.008	0.008	0.008
GA 30A611	GA 30A611	Riblett 30-series	10	30.1	4.5	JF XF	1.7	116	0.008	0.008	0.008
GA 30A612	GA 30A612	Riblett 30-series	12	30.1	4.5	JF XF	1.76	111	0.009	0.008	0.008
GA 30A613	GA 30A613	Riblett 30-series	11	30.1	4.5	JF XF	1.84	112	0.009	0.009	0.009
GA 30A614	GA 30A614	Riblett 30-series	13	30.1	4.5	JF XF	1.92	111	0.009	0.009	0.009
GA 30A615	GA 30A615	Riblett 30-series	15	30.1	4.5	JF XF	2	107	0.01	0.01	0.01
GA 30A616	GA 30A616	Riblett 30-series	14	30.1	4.5	JF XF	2.07	108	0.01	0.01	0.01
GA 30A617	GA 30A617	Riblett 30-series	16	30.1	4.5	JF XF	2.15	105	0.01	0.01	0.011
GA 30A618	GA 30A618	Riblett 30-series	18	30.1	4.5	JF XF	2.22	105	0.011	0.01	0.011
GA 30A619	GA 30A619	Riblett 30-series	17	30.1	4.5	JF XF	2.29	104	0.011	0.011	0.011
GA 30A620	GA 30A620	Riblett 30-series	19	30.1	4.5	JF XF	2.37	101	0.011	0.011	0.012
GA 30U-612	GA 30U-612	Riblett 30-series	12	30.1	4.5	JF XF	1.74	147	0.006	0.006	0.006
GA 30U-615	GA 30U-615	Riblett 30-series	15	30.1	4.5	JF XF	1.99	147	0.006	0.006	0.007
GA 30U-618	GA 30U-618	Riblett 30-series	18	30.1	4.5	JF XF	2.21	142	0.007	0.007	0.007
GA 35-010	GA 35-010	Riblett 35-series	10	33.8	0	JF XF	0.91	91	0.005	0.006	0.112
GA 35-011	GA 35-011	Riblett 35-series	11	33.8	0	JF XF	0.97	92	0.005	0.006	0.008
GA 35-012	GA 35-012	Riblett 35-series	12	33.8	0	JF XF	1.02	95	0.005	0.005	0.007
GA 35-013	GA 35-013	Riblett 35-series	13	33.8	0	JF XF	1.08	95	0.005	0.005	0.007
GA 35-014	GA 35-014	Riblett 35-series	14	33.8	0	JF XF	1.14	99	0.005	0.005	0.007
GA 35-015	GA 35-015	Riblett 35-series	15	33.8	0	JF XF	1.2	97	0.005	0.006	0.007
GA 35-016	GA 35-016	Riblett 35-series	16	33.8	0	JF XF	1.26	99	0.005	0.005	0.007
GA 35-017	GA 35-017	Riblett 35-series	17	33.8	0	JF XF	1.32	96	0.005	0.006	0.007
GA 35-018	GA 35-018	Riblett 35-series	18	33.8	0	JF XF	1.39	97	0.005	0.006	0.006
GA 35-019	GA 35-019	Riblett 35-series	19	33.8	0	JF XF	1.46	95	0.005	0.006	0.007
GA 35-020	GA 35-020	Riblett 35-series	20	33.8	0	JF XF	1.52	103	0.005	0.006	0.006
GA 35-210	GA 35-210	Riblett 35-series	20	30.1	4.5	JF XF	1.15	110	0.004	0.005	0.005
GA 35-211	GA 35-211	Riblett 35-series	10	33.8	1.8	JF XF	1.24	113	0.005	0.005	0.005
GA 35-212	GA 35-212	Riblett 35-series	12	33.8	1.8	JF XF	1.3	110	0.005	0.005	0.006
GA 35-213	GA 35-213	Riblett 35-series	11	33.8	1.8	JF XF	1.35	114	0.005	0.005	0.005
GA 35-214	GA 35-214	Riblett 35-series	13	33.8	1.8	JF XF	1.41	117	0.005	0.005	0.006
GA 35-215	GA 35-215	Riblett 35-series	15	33.8	1.8	JF XF	1.47	114	0.005	0.005	0.005
GA 35-216	GA 35-216	Riblett 35-series	14	33.8	1.8	JF XF	1.53	121	0.005	0.005	0.006
GA 35-217	GA 35-217	Riblett 35-series	17	33.8	1.8	JF XF	1.6	118	0.005	0.005	0.006
GA 35-218	GA 35-218	Riblett 35-series	18	33.8	1.8	JF XF	1.66	124	0.005	0.005	0.006
GA 35-219	GA 35-219	Riblett 35-series	17	33.8	1.8	JF XF	1.72	123	0.005	0.005	0.006
GA 35-220	GA 35-220	Riblett 35-series	20	33.8	1.8	JF XF	1.79	126	0.005	0.005	0.006
GA 35-310	GA 35-310	Riblett 35-series	20	33.8	1.8	JF XF	1.22	128	0.006	0.005	0.005
GA 35-311	GA 35-311	Riblett 35-series	10	33.8	2.5	JF XF	1.3	128	0.005	0.005	0.005
GA 35-312	GA 35-312	Riblett 35-series	12	33.8	2.5	JF XF	1.35	125	0.005	0.005	0.005
GA 35-313	GA 35-313	Riblett 35-series	11	33.8	2.5	JF XF	1.42	132	0.005	0.005	0.005
GA 35-314	GA 35-314	Riblett 35-series	13	33.8	2.5	JF XF	1.48	132	0.005	0.005	0.005
GA 35-315	GA 35-315	Riblett 35-series	15	33.8	2.5	JF XF	1.54	131	0.005	0.005	0.006
GA 35-316	GA 35-316	Riblett 35-series	14	33.8	2.5	JF XF	1.6	134	0.005	0.005	0.006
GA 35-317	GA 35-317	Riblett 35-series	16	33.8	2.5	JF XF	1.67	134	0.005	0.005	0.006
GA 35-318	GA 35-318	Riblett 35-series	18	33.8	2.5	JF XF	1.73	137	0.005	0.005	0.006
GA 35-319	GA 35-319	Riblett 35-series	17	33.8	2.5	JF XF	1.79	137	0.005	0.006	0.006
GA 35-320	GA 35-320	Riblett 35-series	19	33.8	2.5	JF XF	1.86	137	0.005	0.005	0.006
GA 35-410	GA 35-410	Riblett 35-series	20	33.8	2.5	JF XF	1.28	157	0.006	0.005	0.005
GA 35-411	GA 35-411	Riblett 35-series	10	33.8	3.3	JF XF	1.37	153	0.006	0.005	0.005
GA 35-412	GA 35-412	Riblett 35-series	12	33.8	3.3	JF XF	1.43	148	0.006	0.005	0.005
GA 35-413	GA 35-413	Riblett 35-series	11	33.8	3.3	JF XF	1.49	148	0.006	0.005	0.005
GA 35-414	GA 35-414	Riblett 35-series	13	33.8	3.3	JF XF	1.55	149	0.006	0.005	0.005
GA 35-415	GA 35-415	Riblett 35-series	15	33.8	3.3	JF XF	1.62	147	0.005	0.005	0.006
GA 35-416	GA 35-416	Riblett 35-series	14	33.8	3.3	JF XF	1.68	147	0.005	0.005	0.005
GA 35-417	GA 35-417	Riblett 35-series	17	33.8	3.3	JF XF	1.74	143	0.005	0.005	0.006
GA 35-418	GA 35-418	Riblett 35-series	18	33.8	3.3	JF XF	1.8	144	0.005	0.006	0.006
GA 35-419	GA 35-419	Riblett 35-series	17	33.8	3.3	JF XF	1.87	150	0.006	0.005	0.006
GA 35-420	GA 35-420	Riblett 35-series	19	33.8	3.3	JF XF	1.93	148	0.006	0.005	0.006
GA 35-610	GA 35-610	Riblett 35-series	20	33.8	3.3	JF XF	1.41	181	0.006	0.005	0.005
GA 35-611	GA 35-611	Riblett 35-series	10	33.8	4.5	JF XF	1.49	175	0.006	0.005	0.005
GA 35-612	GA 35-612	Riblett 35-series	12	33.8	4.5	JF XF	1.53	176	0.006	0.005	0.005
GA 35-613	GA 35-613	Riblett 35-series	11	33.8	4.5	JF XF	1.6	171	0.006	0.005	0.005
GA 35-614	GA 35-614	Riblett 35-series	13	33.8	4.5	JF XF	1.67	161	0.006	0.005	0.005
GA 35-615	GA 35-615	Riblett 35-series	15	33.8	4.5	JF XF	1.74	159	0.006	0.005	0.005
GA 35-616	GA 35-616	Riblett 35-series	14	33.8	4.5	JF XF	1.81	165	0.006	0.005	0.005
GA 35-617	GA 35-617	Riblett 35-series	16	33.8	4.5	JF XF	1.88	164	0.006	0.005	0.006
GA 35-618	GA 35-618	Riblett 35-series	18	33.8	4.5	JF XF	1.95	162	0.007	0.005	0.006
GA 35-619	GA 35-619	Riblett 35-series	17	33.8	4.5	JF XF	2.02	164	0.007	0.006	0.006
GA 35-620	GA 35-620	Riblett 35-series	19	33.8	4.5	JF XF	2.08	160	0.006	0.006	0.006
GA 35A010	GA 35A010	Riblett 35-series	10	35.8	0	JF XF	0.91	88	0.005	0.007	0.109
GA 35A011	GA 35A011	Riblett 35-series	11	35.8	0	JF XF	0.97	93	0.005	0.007	0.008
GA 35A012	GA 35A012	Riblett 35-series	12	35.8	0	JF XF	1.04	92	0.005	0.006	0.008
GA 35A013	GA 35A013	Riblett 35-series	13	35.8	0	JF XF	1.1	88	0.006	0.006	0.008
GA 35A014	GA 35A014	Riblett 35-series	14	35.8	0	JF XF	1.16	93	0.006	0.006	0.008
GA 35A015	GA 35A015	Riblett 35-series	15	35.8	0	JF XF	1.21	93	0.006	0.006	0.008
GA 35A016	GA 35A016	Riblett 35-series	16	35.8	0	JF XF	1.27	90	0.006	0.007	0.008
GA 35A017	GA 35A017	Riblett 35-series	17	35.8	0	JF XF	1.33	93	0.006	0.007	0.008
GA 35A018	GA 35A018	Riblett 35-series	18	35.8	0	JF XF	1.39	91	0.006	0.006	0.008
GA 35A019	GA 35A019	Riblett 35-series	19	35.8	0	JF XF	1.46	92	0.006	0.007	0.008
GA 35A020	GA 35A020	Riblett 35-series	20	35.8	0	JF XF	1.53	89	0.007	0.007	0.008
GA 35A210	GA 35A210	Riblett 35-series	20	33.8	4.5	JF XF	1.15	107	0.006	0.005	0.006
GA 35A211	GA 35A211	Riblett 35-series	10	35.8	1.8	JF XF	1.24	106	0.005	0.006	0.006
GA 35A212	GA 35A212	Riblett 35-series	12	35.8	1.8	JF XF	1.32	105	0.005	0.005	0.006
GA 35A213	GA 35A213	Riblett 35-series	13	35.8	1.8	JF XF	1.38	110	0.005	0.006	0.006
GA 35A214	GA 35A214	Riblett 35-series	13	35.8	1.8	JF XF	1.43	110	0.006	0.006	0.006
GA 35A215	GA 35A215	Riblett 35-series	15	35.8	1.8	JF XF	1.48	109	0.006	0.006	0.006
GA 35A216	GA 35A216	Riblett 35-series	16	35.8	1.8	JF XF	1.54	106	0.006	0.006	0.006
GA 35A217	GA 35A217	Riblett 35-series	16	35.8	1.8	JF XF	1.6	106	0.006	0.006	0.007
GA 35A218	GA 35A218	Riblett 35-series	18	35.8	1.8	JF XF	1.66	109	0.006	0.006	0.007
GA 35A219	GA 35A219	Riblett 35-series	17	35.8	1.8	JF XF	1.73	109	0.006	0.006	0.007
GA 35A220	GA 35A220	Riblett 35-series	19	35.8	1.8	JF XF	1.79	108	0.007	0.007	0.007
GA 35A310	GA 35A310	Riblett 35-series	20	35.8	1.8	JF XF	1.22	127	0.006	0.005	0.006
GA 35A311	GA 35A311	Riblett 35-series	10	35.8	2.5	JF XF	1.3	118	0.005	0.005	0.006
GA 35A312	GA 35A312	Riblett 35-series	12	35.8	2.5	JF XF	1.39	120	0.005	0.006	0.006
GA 35A313	GA 35A313	Riblett 35-series	13	35.8	2.5	JF XF	1.45	120	0.006	0.006	0.006
GA 35A314	GA 35A314	Riblett 35-series	14	35.8	2.5	JF XF	1.49	115	0.006	0.006	0.006
GA 35A315	GA 35A315	Riblett 35-series	15	35.8	2.5	JF XF	1.55	118	0.006	0.006	0.006
GA 35A316	GA 35A316	Riblett 35-series	16	35.8	2.5	JF XF	1.61	116	0.006	0.006	0.006
GA 35A317	GA 35A317	Riblett 35-series	17	35.8	2.5	JF XF	1.67	120	0.006	0.006	0.007
GA 35A318	GA 35A318	Riblett 35-series	18	35.8	2.5	JF XF	1.73	117	0.006	0.006	0.007
GA 35A319	GA 35A319	Riblett 35-series	19	35.8	2.5	JF XF	1.8	121	0.006	0.007	0.007
GA 35A320	GA 35A320	Riblett 35-series	20	35.8	2.5	JF XF	1.86	121	0.007	0.007	0.007
GA 35A410	GA 35A410	Riblett 35-series	10	35.8	3.3	JF XF	1.28	152	0.006	0.005	0.005
GA 35A411	GA 35A411	Riblett 35-series	11	35.8	3.3	JF XF	1.37	147	0.006	0.005	0.006
GA 35A412	GA 35A412	Riblett 35-series	12	35.8	3.3	JF XF	1.46	144	0.006	0.006	0.006
GA 35A413	GA 35A413	Riblett 35-series	13	35.8	3.3	JF XF	1.52	142	0.006	0.006	0.006
GA 35A414	GA 35A414	Riblett 35-series	14	35.8	3.3	JF XF	1.57	131	0.006	0.006	0.006
GA 35A415	GA 35A415	Riblett 35-series	15	35.8	3.3	JF XF	1.63	134	0.006	0.006	0.006
GA 35A416	GA 35A416	Riblett 35-series	16	35.8	3.3	JF XF	1.69	131	0.006	0.006	0.007
GA 35A417	GA 35A417	Riblett 35-series	17	35.8	3.3	JF XF	1.75	134	0.007	0.006	0.007
GA 35A418	GA 35A418	Riblett 35-series	18	35.8	3.3	JF XF	1.81	132	0.006	0.006	0.007
GA 35A419	GA 35A419	Riblett 35-series	19	35.8	3.3	JF XF	1.88	131	0.007	0.006	0.007
GA 35A420	GA 35A420	Riblett 35-series	20	35.8	3.3	JF XF	1.94	129	0.007	0.007	0.007
GA 35A610	GA 35A610	Riblett 35-series	10	35.8	4.5	JF XF	1.41	176	0.006	0.006	0.005
GA 35A611	GA 35A611	Riblett 35-series	11	35.8	4.5	JF XF	1.5	172	0.006	0.006	0.005
GA 35A612	GA 35A612	Riblett 35-series	12	35.8	4.5	JF XF	1.58	171	0.007	0.006	0.006
GA 35A613	GA 35A613	Riblett 35-series	13	35.8	4.5	JF XF	1.62	163	0.007	0.006	0.006
GA 35A614	GA 35A614	Riblett 35-series	14	35.8	4.5	JF XF	1.69	163	0.007	0.006	0.006
GA 35A615	GA 35A615	Riblett 35-series	15	35.8	4.5	JF XF	1.76	157	0.007	0.006	0.006
GA 35A616	GA 35A616	Riblett 35-series	16	35.8	4.5	JF XF	1.83	160	0.007	0.006	0.006
GA 35A617	GA 35A617	Riblett 35-series	17	35.8	4.5	JF XF	1.9	155	0.007	0.006	0.007
GA 35A618	GA 35A618	Riblett 35-series	18	35.8	4.5	JF XF	1.96	145	0.007	0.006	0.006
GA 35A619	GA 35A619	Riblett 35-series	19	35.8	4.5	JF XF	2.02	150	0.008	0.006	0.007
GA 35A620	GA 35A620	Riblett 35-series	20	35.8	4.5	JF XF	2.09	150	0.008	0.007	0.007
GA 37-010	GA 37-010	Riblett 37-series	10	37.7	0	JF XF	0.91	95	0.004	0.007	0.107
GA 37-011	GA 37-011	Riblett 37-series	11	37.7	0	JF XF	0.96	94	0.004	0.006	0.008
GA 37-012	GA 37-012	Riblett 37-series	12	37.7	0	JF XF	1.02	99	0.005	0.006	0.008
GA 37-013	GA 37-013	Riblett 37-series	13	37.7	0	JF XF	1.08	95	0.004	0.005	0.007
GA 37-014	GA 37-014	Riblett 37-series	14	37.7	0	JF XF	1.14	99	0.004	0.005	0.008
GA 37-015	GA 37-015	Riblett 37-series	15	37.7	0	JF XF	1.2	96	0.005	0.005	0.008
GA 37-016	GA 37-016	Riblett 37-series	16	37.7	0	JF XF	1.26	97	0.005	0.005	0.007
GA 37-017	GA 37-017	Riblett 37-series	17	37.7	0	JF XF	1.32	93	0.005	0.005	0.007
